E,f1,f2,PE,C+i,Total,K,lambda
2.0004844,44.2939,8.9779,968.07,11.165,979.24,0.0,0.6198
2.0104868,43.7457,8.9283,957.94,11.161,969.1,0.0,0.6167
2.0205393,43.1428,8.8791,947.92,11.157,959.07,0.0,0.6136
2.030642,42.4742,8.8303,938.01,11.153,949.17,0.0,0.6106
2.0407952,41.7247,8.7819,928.23,11.149,939.38,0.0,0.6075
2.0509992,40.8734,8.7338,918.55,11.145,929.7,0.0,0.6045
2.0612542,39.8895,8.6861,908.99,11.141,920.13,0.0,0.6015
2.0715604,38.7253,8.6388,899.54,11.136,910.68,0.0,0.5985
2.0819182,37.2998,8.5908,890.09,11.131,901.22,0.0,0.5955
2.0923278,35.4583,8.5423,880.66,11.126,891.79,0.0,0.5926
2.1027895,32.8376,8.4942,871.35,11.121,882.47,0.0,0.5896
2.1133034,28.1254,8.4464,862.14,11.116,873.25,0.0,0.5867
2.1210653,12.8681,8.4116,855.44,11.112,866.55,0.0,0.5845
2.1221346,12.5624,25.721,2614.5,11.111,2625.6,0.0,0.5842
2.1238699,20.5054,25.691,2609.3,11.11,2620.4,0.0,0.5838
2.1344893,29.7864,25.509,2577.9,11.104,2589.0,0.0,0.5809
2.1451617,32.6834,25.328,2546.9,11.099,2558.0,0.0,0.578
2.1558875,34.1696,25.148,2516.2,11.093,2527.3,0.0,0.5751
2.166667,34.877,24.97,2486.0,11.086,2497.1,0.0,0.5722
2.1775003,34.8926,24.793,2456.1,11.08,2467.2,0.0,0.5694
2.1883878,33.888,24.618,2426.6,11.073,2437.7,0.0,0.5666
2.1993297,28.8564,24.444,2397.4,11.067,2408.5,0.0,0.5637
2.2011954,24.303,24.415,2392.5,11.066,2403.6,0.0,0.5633
2.2026046,24.2383,35.85,3510.9,11.065,3522.0,0.0,0.5629
2.2103264,33.9315,35.668,3480.9,11.06,3491.9,0.0,0.5609
2.221378,37.7893,35.41,3438.5,11.053,3449.5,0.0,0.5581
2.2324849,40.1466,35.154,3396.7,11.046,3407.7,0.0,0.5554
2.2436473,41.9226,34.9,3355.3,11.038,3366.4,0.0,0.5526
2.2548656,43.3738,34.648,3314.5,11.031,3325.6,0.0,0.5499
2.2661399,44.6117,34.398,3274.2,11.023,3285.3,0.0,0.5471
2.2774706,45.6958,34.149,3234.4,11.015,3245.4,0.0,0.5444
2.2888579,46.6622,33.903,3195.1,11.007,3206.1,0.0,0.5417
2.3003022,47.5347,33.659,3156.3,10.999,3167.3,0.0,0.539
2.3118037,48.3299,33.416,3118.0,10.991,3129.0,0.0,0.5363
2.3233628,49.0598,33.176,3080.1,10.982,3091.1,0.0,0.5336
2.3349796,49.7337,32.937,3042.7,10.974,3053.7,0.0,0.531
2.3466545,50.3585,32.7,3005.8,10.965,3016.8,0.0,0.5283
2.3583878,50.9399,32.465,2969.4,10.956,2980.3,0.0,0.5257
2.3701797,51.4823,32.231,2933.3,10.947,2944.3,0.0,0.5231
2.3820306,51.9894,32.0,2897.8,10.938,2908.7,0.0,0.5205
2.3939407,52.4641,31.77,2862.7,10.928,2873.6,0.0,0.5179
2.4059104,52.9089,31.542,2828.0,10.919,2838.9,0.0,0.5153
2.41794,53.3257,31.316,2793.7,10.909,2804.6,0.0,0.5128
2.4300297,53.716,31.091,2759.9,10.899,2770.8,0.0,0.5102
2.4421798,54.0812,30.868,2726.4,10.889,2737.3,0.0,0.5077
2.4543907,54.4221,30.646,2693.3,10.879,2704.2,0.0,0.5052
2.4666627,54.7392,30.425,2660.7,10.868,2671.5,0.0,0.5026
2.478996,55.0328,30.206,2628.4,10.858,2639.2,0.0,0.5001
2.491391,55.3029,29.989,2596.5,10.847,2607.4,0.0,0.4977
2.5038479,55.5489,29.774,2565.0,10.836,2575.9,0.0,0.4952
2.5163672,55.7698,29.56,2533.9,10.825,2544.8,0.0,0.4927
2.528949,55.9639,29.348,2503.2,10.814,2514.1,0.0,0.4903
2.5415938,56.1284,29.137,2472.9,10.803,2483.7,0.0,0.4878
2.5543017,56.2593,28.928,2443.0,10.791,2453.8,0.0,0.4854
2.5670732,56.3501,28.721,2413.4,10.78,2424.2,0.0,0.483
2.5799086,56.3905,28.515,2384.2,10.768,2395.0,0.0,0.4806
2.5928082,56.3628,28.311,2355.3,10.756,2366.1,0.0,0.4782
2.6057722,56.2333,28.108,2326.8,10.744,2337.6,0.0,0.4758
2.6188011,55.9261,27.907,2298.7,10.732,2309.4,0.0,0.4734
2.6318951,55.2002,27.708,2270.9,10.719,2281.6,0.0,0.4711
2.6429266,52.9149,27.541,2247.9,10.709,2258.6,0.0,0.4691
2.6450545,50.0359,27.51,2243.5,10.707,2254.2,0.0,0.4687
2.6478735,52.9484,32.133,2617.7,10.704,2628.4,0.0,0.4682
2.6582798,55.6183,31.952,2592.8,10.694,2603.5,0.0,0.4664
2.6715712,56.9294,31.724,2561.4,10.681,2572.1,0.0,0.4641
2.6849291,57.7856,31.497,2530.5,10.669,2541.2,0.0,0.4618
2.6983537,58.452,31.272,2499.9,10.656,2510.6,0.0,0.4595
2.7118455,59.0107,31.049,2469.7,10.642,2480.4,0.0,0.4572
2.7254047,59.4983,30.827,2439.9,10.629,2450.5,0.0,0.4549
2.7390317,59.9343,30.607,2410.4,10.615,2421.0,0.0,0.4527
2.7527269,60.3302,30.389,2381.3,10.602,2391.9,0.0,0.4504
2.7664905,60.6921,30.167,2352.2,10.588,2362.8,0.0,0.4482
2.780323,61.0216,29.949,2323.5,10.574,2334.1,0.0,0.4459
2.7942246,61.329,29.741,2296.0,10.56,2306.5,0.0,0.4437
2.8081957,61.6185,29.537,2268.8,10.546,2279.4,0.0,0.4415
2.8222367,61.8915,29.334,2242.1,10.532,2252.6,0.0,0.4393
2.8363479,62.1491,29.134,2215.7,10.517,2226.2,0.0,0.4371
2.8505296,62.3923,28.936,2189.7,10.503,2200.2,0.0,0.435
2.8647823,62.6218,28.74,2164.0,10.488,2174.5,0.0,0.4328
2.8791062,62.8365,28.541,2138.3,10.473,2148.8,0.0,0.4306
2.8935017,63.0361,28.344,2113.0,10.458,2123.5,0.0,0.4285
2.9079692,63.2201,28.148,2088.0,10.443,2098.4,0.0,0.4264
2.9225091,63.3874,27.954,2063.3,10.428,2073.7,0.0,0.4242
2.9371216,63.5359,27.761,2038.9,10.412,2049.3,0.0,0.4221
2.9518072,63.662,27.571,2014.8,10.397,2025.2,0.0,0.42
2.9665662,63.7592,27.381,1991.0,10.381,2001.4,0.0,0.4179
2.9813991,63.815,27.193,1967.5,10.365,1977.8,0.0,0.4159
2.9963061,63.8003,27.007,1944.3,10.349,1954.6,0.0,0.4138
3.0112876,63.6373,26.803,1920.0,10.333,1930.3,0.0,0.4117
3.0221418,63.0881,26.653,1902.3,10.322,1912.7,0.0,0.4103
3.026344,61.266,26.595,1895.6,10.317,1905.9,0.0,0.4097
3.0308581,63.1851,28.305,2014.5,10.312,2024.8,0.0,0.4091
3.0414758,64.0249,28.149,1996.4,10.301,2006.7,0.0,0.4076
3.0566831,64.6111,27.929,1970.9,10.284,1981.2,0.0,0.4056
3.0719666,65.0211,27.711,1945.8,10.268,1956.1,0.0,0.4036
3.0873264,65.354,27.494,1921.0,10.251,1931.2,0.0,0.4016
3.102763,65.6406,27.279,1896.4,10.234,1906.7,0.0,0.3996
3.1182768,65.8946,27.065,1872.2,10.218,1882.4,0.0,0.3976
3.1338682,66.1231,26.853,1848.3,10.201,1858.5,0.0,0.3956
3.1495376,66.33,26.642,1824.7,10.183,1834.9,0.0,0.3937
3.1652853,66.517,26.433,1801.4,10.166,1811.5,0.0,0.3917
3.1811117,66.6847,26.228,1778.5,10.149,1788.7,0.0,0.3898
3.1970172,66.8356,26.029,1756.2,10.131,1766.3,0.0,0.3878
3.2130023,66.9692,25.831,1734.2,10.114,1744.3,0.0,0.3859
3.2290673,67.0817,25.636,1712.5,10.096,1722.6,0.0,0.384
3.2452127,67.1661,25.442,1691.1,10.078,1701.2,0.0,0.3821
3.2614387,67.206,25.25,1670.0,10.06,1680.1,0.0,0.3802
3.2777459,67.1514,25.06,1649.2,10.042,1659.2,0.0,0.3783
3.2891773,66.9216,24.928,1634.8,10.029,1644.8,0.0,0.3769
3.2941347,66.5163,24.871,1628.6,10.024,1638.7,0.0,0.3764
3.3028227,67.0492,25.873,1689.8,10.014,1699.8,0.0,0.3754
3.3106053,67.3904,25.784,1680.0,10.006,1690.0,0.0,0.3745
3.3271584,67.8095,25.597,1659.5,9.9872,1669.5,0.0,0.3726
3.3437941,68.108,25.411,1639.3,9.9687,1649.2,0.0,0.3708
3.3605131,68.3571,25.227,1619.3,9.95,1629.3,0.0,0.3689
3.3773157,68.578,25.045,1599.6,9.9313,1609.6,0.0,0.3671
3.3942023,68.7799,24.865,1580.2,9.9125,1590.1,0.0,0.3653
3.4111733,68.9679,24.686,1561.0,9.8935,1570.9,0.0,0.3635
3.4282291,69.1449,24.509,1542.1,9.8745,1552.0,0.0,0.3617
3.4453703,69.313,24.332,1523.4,9.8553,1533.2,0.0,0.3599
3.4625971,69.4729,24.155,1504.8,9.8361,1514.6,0.0,0.3581
3.4799101,69.6255,23.981,1486.5,9.8167,1496.3,0.0,0.3563
3.4973097,69.7719,23.807,1468.4,9.7973,1478.2,0.0,0.3545
3.5147962,69.9126,23.636,1450.6,9.7777,1460.3,0.0,0.3527
3.5323702,70.0482,23.466,1433.0,9.758,1442.7,0.0,0.351
3.5500321,70.1792,23.297,1415.6,9.7383,1425.3,0.0,0.3492
3.5677822,70.3058,23.13,1398.5,9.7184,1408.2,0.0,0.3475
3.5856211,70.4284,22.965,1381.5,9.6984,1391.2,0.0,0.3458
3.6035492,70.5473,22.801,1364.9,9.6784,1374.5,0.0,0.3441
3.621567,70.6627,22.638,1348.4,9.6582,1358.0,0.0,0.3423
3.6396748,70.7749,22.477,1332.1,9.638,1341.8,0.0,0.3406
3.6578732,70.8839,22.318,1316.1,9.6176,1325.7,0.0,0.339
3.6761626,70.99,22.159,1300.3,9.5972,1309.8,0.0,0.3373
3.6945434,71.0934,22.002,1284.6,9.5767,1294.2,0.0,0.3356
3.7130161,71.1941,21.847,1269.2,9.5561,1278.8,0.0,0.3339
3.7315812,71.2923,21.693,1254.0,9.5354,1263.5,0.0,0.3323
3.7502391,71.3882,21.54,1238.9,9.5146,1248.4,0.0,0.3306
3.7689903,71.4818,21.388,1224.1,9.4937,1233.6,0.0,0.329
3.7878352,71.5732,21.238,1209.4,9.4727,1218.9,0.0,0.3273
3.8067744,71.6626,21.089,1195.0,9.4517,1204.4,0.0,0.3257
3.8258083,71.7501,20.941,1180.7,9.4305,1190.1,0.0,0.3241
3.8449373,71.8357,20.795,1166.6,9.4093,1176.0,0.0,0.3225
3.864162,71.9197,20.649,1152.7,9.388,1162.1,0.0,0.3209
3.8834828,72.002,20.505,1139.0,9.3666,1148.3,0.0,0.3193
3.9029002,72.0829,20.362,1125.4,9.3451,1134.7,0.0,0.3177
3.9224147,72.1624,20.221,1112.0,9.3235,1121.3,0.0,0.3161
3.9420268,72.2406,20.079,1098.7,9.3019,1108.0,0.0,0.3145
3.9617369,72.3169,19.936,1085.5,9.2802,1094.8,0.0,0.313
3.9815456,72.3912,19.795,1072.4,9.2584,1081.7,0.0,0.3114
4.0014533,72.4637,19.655,1059.5,9.2365,1068.8,0.0,0.3098
4.0214606,72.5346,19.516,1046.8,9.2145,1056.0,0.0,0.3083
4.0415679,72.6038,19.378,1034.2,9.1925,1043.4,0.0,0.3068
4.0617757,72.6716,19.241,1021.8,9.1704,1031.0,0.0,0.3052
4.0820846,72.7379,19.105,1009.6,9.1482,1018.7,0.0,0.3037
4.102495,72.8028,18.97,997.45,9.126,1006.6,0.0,0.3022
4.1230075,72.8664,18.836,985.49,9.1036,994.59,0.0,0.3007
4.1436226,72.9288,18.704,973.67,9.0812,982.75,0.0,0.2992
4.1643407,72.9901,18.572,962.01,9.0588,971.07,0.0,0.2977
4.1851624,73.0502,18.441,950.49,9.0362,959.52,0.0,0.2962
4.2060882,73.1093,18.312,939.11,9.0136,948.12,0.0,0.2948
4.2271186,73.1674,18.183,927.87,8.9909,936.86,0.0,0.2933
4.2482542,73.4221,18.053,916.67,8.9682,925.64,0.0,0.2918
4.2694955,73.4787,17.919,905.3,8.9454,914.24,0.0,0.2904
4.290843,73.5336,17.785,894.06,8.9225,902.99,0.0,0.289
4.3122972,73.5866,17.651,882.95,8.8996,891.85,0.0,0.2875
4.3338587,73.6378,17.519,871.98,8.8766,880.85,0.0,0.2861
4.355528,73.6875,17.388,861.15,8.8535,870.0,0.0,0.2847
4.3773056,73.7357,17.258,850.46,8.8304,859.29,0.0,0.2832
4.3991921,73.7825,17.129,839.91,8.8072,848.72,0.0,0.2818
4.4211881,73.9631,16.997,829.3,8.784,838.08,0.0,0.2804
4.443294,74.0071,16.866,818.78,8.7607,827.54,0.0,0.279
4.4655105,74.0492,16.735,808.39,8.7373,817.13,0.0,0.2776
4.4878381,74.0897,16.606,798.15,8.7139,806.86,0.0,0.2763
4.5102772,74.1286,16.477,788.04,8.6904,796.73,0.0,0.2749
4.5328286,74.166,16.35,778.07,8.6669,786.74,0.0,0.2735
4.5554928,74.2019,16.224,768.23,8.6433,776.88,0.0,0.2722
4.5782702,74.2364,16.099,758.52,8.6197,767.14,0.0,0.2708
4.6011616,74.2697,15.975,748.95,8.596,757.54,0.0,0.2695
4.6241674,74.3016,15.853,739.5,8.5722,748.07,0.0,0.2681
4.6472882,74.3324,15.731,730.17,8.5485,738.72,0.0,0.2668
4.6705247,74.362,15.61,720.97,8.5246,729.49,0.0,0.2655
4.6938773,74.3904,15.491,711.89,8.5007,720.39,0.0,0.2641
4.7173467,74.4178,15.373,702.93,8.4768,711.41,0.0,0.2628
4.7409334,74.4441,15.255,694.1,8.4528,702.55,0.0,0.2615
4.7646381,74.4694,15.139,685.38,8.4288,693.8,0.0,0.2602
4.7884613,74.4938,15.023,676.77,8.4047,685.17,0.0,0.2589
4.8124036,74.5172,14.909,668.28,8.3806,676.66,0.0,0.2576
4.8364656,74.5397,14.796,659.9,8.3564,668.26,0.0,0.2564
4.8606479,74.5613,14.684,651.63,8.3322,659.97,0.0,0.2551
4.8849512,74.5821,14.572,643.48,8.3079,651.78,0.0,0.2538
4.9093759,74.602,14.462,635.43,8.2837,643.71,0.0,0.2525
